companyname;address;phone;fax;email;qualification;Certificat RGE
GOCEL (ETABLISSEMENTS);6 RUE AUX SAUSSAIES-DES-DAMES 57950 MONTIGNY LES METZ;03 87 66 61 19;03 87 63 92 36;celine.latzer@gocel.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-954-GOCEL (ETABLISS-E954-6-20160328.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-954-GOCEL (ETABLISS-E954-6-20160328-RGEAnnexe.pdf&f=
DA COSTA B.M. ET FILS;9 RUE SAINTE ANNE 57670 ALBESTROFF;03 87 01 47 42;03 87 01 49 11;menuiseriedacosta@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-965-DA COSTA B.M. E-E965-3-20160329.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-965-DA COSTA B.M. E-E965-3-20160329-RGEAnnexe.pdf&f=
MENUISERIE EST;4 RUE DE L'ETERNITE 57370 ST JEAN KOURTZERODE;03 87 24 26 40;03 87 24 25 66;contact@menuiseriesest.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-966-MENUISERIE EST-E966-1-20160404.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-966-MENUISERIE EST-E966-1-20160404-RGEAnnexe.pdf&f=
BECK ANTOINE SARL;13 RUE SAINT LAURENT 57930 ROMELFING;03 87 07 55 32;03 87 07 55 33;antoine.beck.sarl@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-971-BECK ANTOINE  S-E971-2-20160325.pdf&f=;
AUBERTIN FRERES;25 RUE DE LORRAINE 57690 ELVANGE;03 87 94 35 97;;menuiserie.aubertin@free.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-979-AUBERTIN FRERES-E979-1-20160411.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-979-AUBERTIN FRERES-E979-1-20160411-RGEAnnexe.pdf&f=
EURO CHEMINEES M. WILHELM GEORGES;ZONE ARTISANALE DE COCHEREN 57800 COCHEREN;03 87 85 11 25;03 87 85 11 25;;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-983-EURO CHEMINEES-E983-3-20160325.pdf&f=;
R.S.T. - RDUCH ET FILS;13A ROUTE DE STRASBOURG 57510 PUTTELANGE AUX LACS;03 87 02 64 95;03 87 02 65 05;rst-rduch.et.fils@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-985-R.S.T. - RDUCH-E985-2-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-985-R.S.T. - RDUCH-E985-2-20160325-RGEAnnexe.pdf&f=
D'ONOFRIO NICOLAS;19 LE VIEUX CHEMIN 57865 AMANVILLERS;03 87 53 53 10;03 87 53 53 10;nicolas.donofrio@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-987-D'ONOFRIO NICOL-E987-3-20160318.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-987-D'ONOFRIO NICOL-E987-3-20160318-RGEAnnexe.pdf&f=
SOCIETE D'EXPLOITATION SAVO VINCENT;ZONE ARTISANALE 57730 MACHEREN;03 87 01 88 38;03 87 81 00 60;contact@savopeinture.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-989-SOCIETE D'EXPLO-E989-5-20160408.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-989-SOCIETE D'EXPLO-E989-5-20160408-RGEAnnexe.pdf&f=
BALEZO ALAIN;4 RUE PRINCIPALE 57810 LEY;03 87 86 72 78;03 87 86 73 54;alain.balezo@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-993-BALEZO ALAIN-E993-7-20160329.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-993-BALEZO ALAIN-E993-7-20160329-RGEAnnexe.pdf&f=
GRIFFI COUVERTURE;24 RUE DE VERDUN 57250 MOYEUVRE GRANDE;03 87 58 35 20;03 87 58 33 02;griffi.couverture@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\D57-Certificat-994-GRIFFI COUVERTU-9631-1-20150622.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\D57-Certificat-994-GRIFFI COUVERTU-9631-1-20150622-RGEAnnexe.pdf&f=
KARM AGENCEMENT;118 RUE SAINT LADRE 57151 MARLY CEDEX;03 87 62 62 15;03 87 50 74 06;secretariat@karm-agencement.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-1002-KARM AGENCEMENT-E1002-1-20160318.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-1002-KARM AGENCEMENT-E1002-1-20160318-RGEAnnexe.pdf&f=
TERRAFOR;3 ZONE ARTISANALE 57645 RETONFEY;03 87 76 78 56;03 87 76 68 88;forage@terrafor.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1003-TERRAFOR-E1003-3-20160325.pdf&f=;
CORAN ET FILS;38 BOUCLE DU FERRONNIER 57180 TERVILLE;03 82 59 60 50;03 82 59 60 55;contact@coran-fils.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\D57-Certificat-1010-CORAN ET FILS-9659-4-20151023.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\D57-Certificat-1010-CORAN ET FILS-9659-4-20151023-RGEAnnexe.pdf&f=
SORNETTE FRERES;22 BIS RUE DES DRAPIERS 57070 METZ;03 87 76 34 30;03 87 75 53 42;sornette@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1024-SORNETTE FRERES-E1024-2-20160325.pdf&f=;
WILSIUS FRERES;17 RUE PASTEUR 57970 YUTZ;03 82 56 75 21;03 82 56 58 22;;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1034-WILSIUS FRERES-E1034-1-20160329.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1034-WILSIUS FRERES-E1034-1-20160329-RGEAnnexe.pdf&f=
BECKRICH DIDIER;24 RUE DE TAPONNAT 57410 ROHRBACH LES BITCHE;03 87 02 70 34;03 87 02 79 20;;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-1035-BECKRICH DIDIER-E1035-1-20160304.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-1035-BECKRICH DIDIER-E1035-1-20160304-RGEAnnexe.pdf&f=
METZGER ALAIN;28 RUE DU FAUBOURG 57590 FOSSIEUX;03 87 05 48 08;03 87 05 44 02;metzger.alain2@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-1040-METZGER ALAIN-E1040-1-20160329.pdf&f=;
SCHERRER JEAN LUC;9 RUE PRINCIPALE 57970 OUDRENNE;03 82 55 08 00;03 82 50 18 98;menuiserie.scherrer@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1046-SCHERRER JEAN L-E1046-2-20160325.pdf&f=;
ARS RENOVATION;134 RUE CLEMENCEAU 57130 ARS SUR MOSELLE;03 87 60 88 91;03 87 60 86 27;ars.reno@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1053-ARS RENOVATION-E1053-2-20160416.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1053-ARS RENOVATION-E1053-2-20160416-RGEAnnexe.pdf&f=
TERRA EST;Z.A. DU STADE 57660 VAHL EBERSING;03 87 90 92 54;03 87 90 02 99;terraest@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-1054-TERRA EST-E1054-1-20160414.pdf&f=;
PSIA;42 RUE DE LA CROIX ROUGE 57130 ANCY SUR MOSELLE;03 87 30 90 87;03 87 30 94 48;psia.ancy@gmail.com;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1055-PSIA-E1055-2-20160325.pdf&f=;
CCSE;2 A RUE CHARLES DESGRANGES 57200 SARREGUEMINES;03 87 98 03 20;03 87 98 21 50;ccse57@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1056-CCSE-E1056-2-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1056-CCSE-E1056-2-20160325-RGEAnnexe.pdf&f=
HOY BERTIN SE;5 RUE NATIONALE 57350 SPICHEREN-BREME D'OR;03 87 85 40 24;03 87 84 15 37;sarlhoybertin@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1068-HOY BERTIN SE-E1068-1-20160404.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1068-HOY BERTIN SE-E1068-1-20160404-RGEAnnexe.pdf&f=
FRANCE PEINTURE;5 RUE DES FONDEURS 57535 MARANGE SILVANGE;03 87 17 15 00;03 87 17 15 01;france.peinture@cegetel.net;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1081-FRANCE PEINTURE-E1081-1-20160229.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1081-FRANCE PEINTURE-E1081-1-20160229-RGEAnnexe.pdf&f=
C. C. E.- CONSTRUCTIONS CARRELAGE DE L'EST;15 PLACE DE LA MAIRIE 57820 HULTEHOUSE;03 87 25 48 92;03 87 25 41 97;cce-sarl@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1090-C. C. E.- CONST-E1090-3-20160325.pdf&f=;
MULTI-BAT;6 RUE DE LA GILLIERE 57140 NORROY LE VENEUR;03 87 33 17 91;03 87 31 49 70;multi.bat57@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1091-MULTI-BAT-E1091-2-20160325.pdf&f=;
WEINMANN FERMETURES SARL;7 RUE DE LA HORGNE 57245 PELTRE;03 87 37 22 74;03 87 75 33 74;weinmann-fermetures@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-1092-WEINMANN FERMET-E1092-1-20160415.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-1092-WEINMANN FERMET-E1092-1-20160415-RGEAnnexe.pdf&f=
SATEC;24 RUE DES ATELIERS 57330 HETTANGE GRANDE;03 82 53 29 69;03 82 53 40 79;sarl.satec@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1097-SATEC-E1097-1-20160404.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1097-SATEC-E1097-1-20160404-RGEAnnexe.pdf&f=
AEK ENTREPRISE GENERALE DU BATIMENT;ZA DU BUNER 57300 HAGONDANGE;03 87 70 24 00;03 87 70 27 39;aekbati@free.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1099-AEK  ENTREPRISE-E1099-6-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1099-AEK  ENTREPRISE-E1099-6-20160325-RGEAnnexe.pdf&f=
LES CONSTRUCTIONS LD;4 RUE DES FORGERONS 57070 METZ;03 87 39 70 60;03 87 39 70 61;delphinelopes@lesconstructionsld.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1103-LES CONSTRUCTIO-E1103-2-20160325.pdf&f=;
SE DES ETABLISSEMENTS SAVO SARL;29 RUE DE FORBACH 57801 FREYMING MERLEBACH CEDEX;03 87 04 46 95;03 87 04 13 54;sarl-savo@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1104-SE DES ETABLISS-E1104-2-20160325.pdf&f=;
BOUCHEREZ PAUL ET FILS;2 TER, RUE DE MONTVAUX 57865 AMANVILLERS;03 87 53 55 91;03 87 53 58 68;paul.boucherez@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1105-BOUCHEREZ PAUL-E1105-2-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1105-BOUCHEREZ PAUL-E1105-2-20160325-RGEAnnexe.pdf&f=
OBRINGER LUX;24 OP ZAEMER L4959 BASCHARAGE;26670601;26670602;;;
EBI (ENVELOPPE DU BATIMENT INDUSTRIEL);RUE CHARLES PICARD 57365 ENNERY;03 87 73 81 11;03 87 73 81 13;info@ebi-france.eu;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1114-EBI (ENVELOPPE-E1114-2-20160405.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1114-EBI (ENVELOPPE-E1114-2-20160405-RGEAnnexe.pdf&f=
MULTI SERVICES;ZI- 9 RUE DES FRERES REMY 57200 SARREGUEMINES;09 60 06 61 14;03 87 26 31 68;multi-services57@orange.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\D57-Certificat-1119-MULTI SERVICES-9651-2-20151215.pdf&f=;
ALLEGRE PEINTURE SARL;113 RUE DE FRESCATY 57950 MONTIGNY LES METZ;03 87 38 93 35;03 87 60 53 84;menuiserie.artisanale@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1120-ALLEGRE PEINTUR-E1120-1-20160419.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1120-ALLEGRE PEINTUR-E1120-1-20160419-RGEAnnexe.pdf&f=
VAGNER SARL;ESPACE PATTON 57500 ST AVOLD;03 87 91 38 78;03 87 91 83 60;chauffage.vagner@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1122-VAGNER SARL-E1122-1-20160307.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\D57-Certificat-1122-VAGNER SARL-E1122-1-20160307-RGEAnnexe.pdf&f=
LOGIBAT SARL;ZAC MERMOZ 57155 MARLY;03 87 69 80 57;03 87 69 80 55;logibat.sarl@groupelongueville.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1123-LOGIBAT  SARL-E1123-2-20160325.pdf&f=;
GUNAY SE;RUE JEAN PROUVE 57600 FORBACH;03 87 85 23 91;03 87 85 76 40;se-gunay@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1124-GUNAY  SE-E1124-6-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1124-GUNAY  SE-E1124-6-20160325-RGEAnnexe.pdf&f=
PETROVIC PERE ET FILS SARL;11 RUE LEPINSECK 57600 FORBACH;03 87 84 08 63;03 87 84 08 63;petrovic4@wanadoo.fr;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1127-PETROVIC  PERE-E1127-2-20160325.pdf&f=;http://www.qualibat.com/Views/GetFichier.aspx?fn=2015\SIEG-Certificat-1127-PETROVIC  PERE-E1127-2-20160325-RGEAnnexe.pdf&f=
ISOLBAT;7 RUE DES DEUX BANCS 57185 VITRY SUR ORNE;03 87 58 30 88;03 87 58 14 95;direction@isolbat.com;http://www.qualibat.com/Views/GetFichier.aspx?fn=2016\SIEG-Certificat-1129-ISOLBAT-E1129-1-20160414.pdf&f=;
